	Spearman	pvalue
SCCPDH	0.1017	0.2904
SCD	0.0588	0.542
SCD5	-0.0397	0.6809
SCFD1	-0.0031	0.9741
SCFD2	0.0771	0.4236
SCG2	0.3423	0.0003
SCG5	-0.1896	0.0472
SCGB1B2P	-0.0861	0.3709
SCGB1D2	-0.039	0.6856
SCGB2A1	-0.0771	0.4232
SCGB2A2	-0.0624	0.5171
SCGB2B2	-0.5382	0.0
SCGB3A1	-0.0814	0.398
SCHIP1	-0.2768	0.0034
SCIMP	0.7628	0.0
SCIN	0.4325	0.0
SCLT1	-0.0064	0.9467
SCLY	0.2418	0.0109
SCMH1	-0.0653	0.4977
SCML1	-0.2054	0.0314
SCML2	-0.3952	0.0
SCML4	0.0076	0.9375
SCN11A	0.3653	0.0001
SCN1B	0.7249	0.0
SCN2A	-0.4566	0.0
SCN2B	-0.3119	0.0009
SCN3A	-0.1816	0.0576
SCN3B	0.0091	0.9247
SCN4A	0.2744	0.0037
SCN4B	0.1457	0.1289
SCN5A	-0.1847	0.0534
SCN7A	-0.2132	0.0253
SCN8A	-0.5588	0.0
SCN9A	0.3993	0.0
SCNM1	0.3907	0.0
SCNN1A	-0.2232	0.0191
SCNN1B	0.2145	0.0245
SCNN1D	-0.1828	0.0559
SCNN1G	-0.2793	0.0031
SCO1	0.0416	0.6659
SCO2	0.5583	0.0
SCOC	-0.3048	0.0012
SCOC-AS1	0.28	0.003
SCP2	0.0127	0.8955
SCPEP1	0.1336	0.1642
SCRG1	-0.0797	0.4076
SCRIB	0.0471	0.6253
SCRN1	0.1891	0.0479
SCRN2	0.2627	0.0056
SCRN3	-0.2368	0.0127
SCUBE1	0.2035	0.033
SCUBE2	-0.2059	0.0309
SCUBE3	0.2126	0.0258
SCX	0.5107	0.0
SCYL1	0.3498	0.0002
SCYL2	-0.3424	0.0003
SCYL3	-0.6417	0.0
SDAD1	-0.3287	0.0005
SDAD1P1	-0.1943	0.0419
SDC1	-0.0272	0.7776
SDC2	0.3369	0.0003
SDC3	0.2673	0.0048
SDC4	-0.3122	0.0009
SDCBP	0.4567	0.0
SDCBP2	0.4533	0.0
SDCBP2-AS1	-0.0356	0.7119
SDCCAG3	0.2642	0.0053
SDCCAG8	-0.2302	0.0156
SDE2	-0.3892	0.0
SDF2	0.3081	0.0011
SDF2L1	0.3468	0.0002
SDF4	0.4754	0.0
SDHA	0.2573	0.0066
SDHAF1	0.1125	0.2419
SDHAF2	0.3363	0.0003
SDHAP1	-0.2601	0.0061
SDHAP3	-0.1638	0.0873
SDHB	0.2367	0.0128
SDHC	-0.0325	0.7359
SDHD	0.1038	0.2806
SDK1	0.2721	0.004
SDK2	-0.3663	0.0001
SDPR	0.1887	0.0483
SDR16C5	-0.1799	0.0601
SDR39U1	-0.0279	0.7727
SDR42E1	-0.5072	0.0
SDS	0.4479	0.0
SDSL	0.2836	0.0027
SEC11A	0.3098	0.001
SEC11C	-0.1256	0.191
SEC13	0.4936	0.0
SEC14L1	0.2292	0.016
SEC14L1P1	-0.3486	0.0002
SEC14L2	-0.1598	0.0954
SEC14L5	0.3366	0.0003
SEC16A	-0.2552	0.0071
SEC22A	0.0757	0.4316
SEC22B	0.1491	0.1201
SEC22C	-0.0118	0.9026
SEC23A	0.241	0.0112
SEC23B	-0.2758	0.0035
SEC23IP	-0.2032	0.0332
SEC24A	-0.0481	0.6181
SEC24B	-0.4585	0.0
SEC24B-AS1	-0.3889	0.0
SEC24C	-0.4191	0.0
SEC24D	0.188	0.0492
SEC31A	0.042	0.6627
SEC31B	-0.1517	0.1136
SEC61A1	0.3587	0.0001
SEC61A2	-0.3071	0.0011
SEC61B	0.4826	0.0
SEC61G	0.423	0.0
SEC62	0.111	0.2483
SEC63	-0.0974	0.3114
SEC63P1	0.1223	0.2031
SECISBP2	-0.5233	0.0
SECISBP2L	-0.234	0.0139
SECTM1	0.7453	0.0
SEH1L	-0.2743	0.0037
SEL1L	-0.0729	0.449
SEL1L3	0.2944	0.0018
SELE	0.1127	0.2412
SELENBP1	0.2588	0.0063
SELK	0.3192	0.0007
SELL	0.7004	0.0
SELM	0.3602	0.0001
SELO	0.149	0.1202
SELP	0.641	0.0
SELPLG	0.8561	0.0
SELT	0.0941	0.3283
SEMA3A	0.2502	0.0084
SEMA3B	0.5092	0.0
SEMA3B-AS1	0.3447	0.0002
SEMA3C	-0.278	0.0033
SEMA3D	-0.2818	0.0029
SEMA3E	-0.3829	0.0
SEMA3F	0.2786	0.0032
SEMA3F-AS1	0.0075	0.9382
SEMA3G	0.4334	0.0
SEMA4A	-0.3436	0.0002
SEMA4B	-0.2173	0.0226
SEMA4C	0.1188	0.2164
SEMA4D	-0.061	0.5265
SEMA4F	0.2145	0.0244
SEMA4G	-0.5246	0.0
SEMA5A	-0.5317	0.0
SEMA5B	0.3563	0.0001
SEMA6A	-0.0867	0.3677
SEMA6A-AS1	-0.2837	0.0027
SEMA6B	0.6774	0.0
SEMA6C	-0.006	0.9501
SEMA6D	-0.5338	0.0
SEMA7A	0.4942	0.0
SENCR	0.6011	0.0
SENP1	-0.4204	0.0
SENP2	-0.4608	0.0
SENP3	0.1453	0.1298
SENP5	0.006	0.9502
SENP6	-0.5382	0.0
SENP7	-0.4394	0.0
SENP8	-0.3577	0.0001
SEP15	0.2296	0.0158
SEPHS1	-0.2685	0.0046
SEPHS2	0.1273	0.185
SEPN1	0.5906	0.0
SEPP1	0.0379	0.6945
SEPSECS	-0.4869	0.0
SEPSECS-AS1	-0.2469	0.0093
SEPT1	0.2153	0.0239
SEPT10	-0.0844	0.3809
SEPT11	0.2893	0.0022
SEPT2	0.2532	0.0076
SEPT3	-0.3845	0.0
SEPT4	0.2682	0.0046
SEPT4-AS1	-0.3453	0.0002
SEPT5	-0.2241	0.0186
SEPT6	0.0878	0.3617
SEPT7	0.2249	0.0182
SEPT7-AS1	-0.2669	0.0048
SEPT7P2	-0.3267	0.0005
SEPT8	0.3729	0.0001
SEPT9	0.2325	0.0145
SEPW1	0.4821	0.0
SERAC1	-0.1217	0.2052
SERBP1	-0.2132	0.0253
SERF1B	-0.0217	0.8223
SERF2	0.5058	0.0
SERGEF	0.2449	0.0099
SERHL	-0.1075	0.2638
SERHL2	-0.1595	0.096
SERINC1	0.0761	0.4296
SERINC2	-0.1166	0.2249
SERINC3	0.1079	0.2617
SERINC5	-0.4475	0.0
SERP1	-0.3438	0.0002
SERP2	-0.1625	0.0898
SERPINA1	0.1062	0.2696
SERPINA11	-0.1345	0.1614
SERPINA3	-0.057	0.5541
SERPINA5	-0.1461	0.1277
SERPINB1	0.4418	0.0
SERPINB5	-0.358	0.0001
SERPINB6	0.3775	0.0
SERPINB8	0.3826	0.0
SERPINB9	0.377	0.0
SERPINB9P1	0.0202	0.8342
SERPINE1	0.2497	0.0085
SERPINE2	0.2566	0.0068
SERPINF1	0.499	0.0
SERPINF2	0.1973	0.0388
SERPING1	0.543	0.0
SERPINH1	0.6174	0.0
SERPINI1	-0.4893	0.0
SERTAD1	0.2489	0.0087
SERTAD2	-0.1823	0.0567
SERTAD3	0.0935	0.3315
SERTAD4	-0.4192	0.0
SERTAD4-AS1	0.1956	0.0406
SESN1	0.0115	0.9047
SESN2	0.3451	0.0002
SESN3	-0.3645	0.0001
SESTD1	0.1609	0.0932
SET	-0.2603	0.006
SETBP1	-0.376	0.0001
SETD1A	-0.131	0.1725
SETD1B	-0.2361	0.013
SETD2	-0.4381	0.0
SETD3	0.1913	0.0453
SETD4	-0.4064	0.0
SETD5	-0.4877	0.0
SETD6	-0.5385	0.0
SETD7	0.1243	0.1956
SETD8	0.0954	0.3215
SETD9	-0.2878	0.0023
SETDB1	-0.557	0.0
SETDB2	-0.5034	0.0
SETMAR	-0.4578	0.0
SETP14	-0.155	0.106
SETX	-0.138	0.1505
SEZ6L	0.0547	0.5705
SEZ6L2	-0.1839	0.0545
SF1	-0.1254	0.1919
SF3A1	-0.3481	0.0002
SF3A2	-0.0113	0.9069
SF3A3	-0.0083	0.9316
SF3B1	-0.4471	0.0
SF3B2	0.2731	0.0039
SF3B3	-0.3434	0.0002
SF3B4	0.1605	0.094
SF3B5	0.3585	0.0001
SF3B6	0.0894	0.3529
SFI1	-0.1315	0.1709
SFMBT1	-0.4722	0.0
SFMBT2	-0.3357	0.0003
SFN	0.137	0.1536
SFPQ	-0.205	0.0317
SFR1	-0.0455	0.637
SFRP1	-0.4667	0.0
SFRP2	0.4597	0.0
SFRP4	0.5698	0.0
SFSWAP	-0.245	0.0099
SFT2D1	0.0586	0.5432
SFT2D2	-0.1552	0.1054
SFTPD	0.1075	0.2635
SFXN1	-0.2318	0.0148
SFXN2	-0.4159	0.0
SFXN3	0.5521	0.0
SFXN4	-0.2061	0.0307
SFXN5	0.0181	0.8509
SGCA	0.3115	0.0009
SGCB	0.1899	0.0469
SGCD	0.0428	0.6571
SGCE	0.1952	0.041
SGIP1	-0.233	0.0143
SGK1	-0.0719	0.4553
SGK2	0.2653	0.0051
SGK223	-0.1153	0.2304
SGK3	-0.3166	0.0008
SGK494	-0.2613	0.0058
SGMS1	0.2424	0.0107
SGMS1-AS1	-0.4938	0.0
SGMS2	0.0798	0.4074
SGOL1	-0.0081	0.9334
SGOL2	-0.2642	0.0053
SGPL1	-0.4592	0.0
SGPP1	0.2118	0.0264
SGPP2	-0.2561	0.0069
SGSH	0.1298	0.1764
SGSM1	-0.315	0.0008
SGSM2	-0.2271	0.017
SGSM3	-0.0465	0.6293
SGTA	0.229	0.0161
SGTB	0.18	0.0599
SH2B1	-0.0736	0.4446
SH2B2	0.3461	0.0002
SH2B3	0.5333	0.0
SH2D1A	0.4039	0.0
SH2D2A	0.3526	0.0002
SH2D3A	-0.2285	0.0163
SH2D3C	0.5825	0.0
SH2D4A	0.1768	0.0646
SH3BGR	-0.1284	0.1812
SH3BGRL	0.0267	0.782
SH3BGRL2	0.0498	0.6056
SH3BGRL3	0.7599	0.0
SH3BP1	0.4265	0.0
SH3BP2	0.1463	0.1272
SH3BP4	-0.3894	0.0
SH3BP5	0.3163	0.0008
SH3BP5-AS1	-0.1442	0.1328
SH3BP5L	0.194	0.0423
SH3D19	0.2081	0.0291
SH3D21	-0.189	0.0479
SH3GL1	0.4997	0.0
SH3GL1P1	-0.0667	0.4888
SH3GLB1	0.1413	0.1409
SH3GLB2	-0.0797	0.4079
SH3KBP1	0.4268	0.0
SH3PXD2A	0.0387	0.6878
SH3PXD2B	0.1209	0.2084
SH3RF1	-0.4369	0.0
SH3RF2	-0.4251	0.0
SH3RF3	0.5697	0.0
SH3RF3-AS1	0.4234	0.0
SH3TC1	0.6654	0.0
SH3TC2	-0.3337	0.0004
SH3YL1	-0.4053	0.0
SHANK1	-0.1582	0.0988
SHANK2	-0.5444	0.0
SHANK3	0.392	0.0
SHARPIN	0.3923	0.0
SHB	0.2333	0.0142
SHC1	0.6092	0.0
SHC2	0.318	0.0007
SHC3	0.306	0.0011
SHC4	-0.4601	0.0
SHCBP1	0.2225	0.0195
SHE	0.3911	0.0
SHF	-0.1801	0.0597
SHFM1	0.4135	0.0
SHISA2	-0.0723	0.453
SHISA4	0.4048	0.0
SHISA5	0.7131	0.0
SHISA6	-0.0334	0.729
SHISA9	-0.3392	0.0003
SHKBP1	0.7105	0.0
SHMT1	0.2114	0.0266
SHMT2	-0.0086	0.9288
SHOC2	-0.0262	0.7861
SHOX2	0.3669	0.0001
SHPK	0.1922	0.0443
SHPRH	-0.5145	0.0
SHQ1	-0.3483	0.0002
SHROOM1	0.1686	0.0782
SHROOM2	-0.3264	0.0005
SHROOM3	-0.4814	0.0
SHROOM4	0.3119	0.0009
SIAE	0.2483	0.0089
SIAH1	-0.01	0.9173
SIAH2	0.0405	0.6744
SIDT1	-0.264	0.0053
SIDT2	0.2956	0.0017
SIGIRR	0.322	0.0006
SIGLEC1	0.7837	0.0
SIGLEC10	0.3088	0.001
SIGLEC14	0.6419	0.0
SIGLEC15	-0.1522	0.1124
SIGLEC16	0.5846	0.0
SIGLEC17P	0.2081	0.0291
SIGLEC5	0.7205	0.0
SIGLEC6	0.3268	0.0005
SIGLEC7	0.8009	0.0
SIGLEC8	0.2355	0.0133
SIGLEC9	0.8868	0.0
SIGMAR1	0.2586	0.0064
SIK2	0.1204	0.2103
SIK3	-0.3738	0.0001
SIKE1	-0.1114	0.2468
SIL1	0.4635	0.0
SIM1	0.13	0.1759
SIM2	-0.2101	0.0276
SIMC1	-0.1201	0.2116
SIN3A	-0.7022	0.0
SIN3B	-0.1035	0.2817
SIPA1	0.609	0.0
SIPA1L1	-0.4268	0.0
SIPA1L2	0.0064	0.9473
SIPA1L3	-0.3611	0.0001
SIRPA	0.4183	0.0
SIRPB1	0.6513	0.0
SIRPB2	0.8042	0.0
SIRPG	0.1759	0.066
SIRT1	-0.4215	0.0
SIRT2	0.3982	0.0
SIRT3	-0.2964	0.0017
SIRT4	-0.0561	0.5603
SIRT5	-0.0792	0.4107
SIRT6	0.3605	0.0001
SIRT7	0.0897	0.3511
SIT1	0.4209	0.0
SIVA1	0.3349	0.0003
SIX1	0.1136	0.2372
SIX2	0.4842	0.0
SIX4	-0.4414	0.0
SIX5	-0.0052	0.9572
SKA1	0.0425	0.6591
SKA2	0.3199	0.0007
SKA3	-0.1066	0.2677
SKAP1	-0.1508	0.1158
SKAP2	0.2213	0.0201
SKI	0.2601	0.0061
SKIDA1	0.0056	0.954
SKIL	-0.0413	0.6686
SKIV2L	0.1743	0.0686
SKIV2L2	-0.3465	0.0002
SKOR1	-0.157	0.1013
SKP1	0.0575	0.5504
SKP1P1	-0.1928	0.0436
SKP2	0.0199	0.8368
SLA	0.6842	0.0
SLA2	0.2098	0.0278
SLAIN1	-0.5114	0.0
SLAIN2	-0.0525	0.5862
SLAMF1	0.0376	0.6968
SLAMF6	0.3333	0.0004
SLAMF7	0.1092	0.256
SLAMF8	0.7066	0.0
SLBP	0.1759	0.066
SLC10A3	0.5134	0.0
SLC10A5	-0.2383	0.0122
SLC10A6	0.108	0.2614
SLC10A7	-0.2509	0.0082
SLC11A1	0.8055	0.0
SLC11A2	-0.4329	0.0
SLC12A2	-0.438	0.0
SLC12A4	0.412	0.0
SLC12A5	0.3912	0.0
SLC12A6	0.0228	0.8128
SLC12A7	0.1866	0.0509
SLC12A8	-0.2581	0.0065
SLC12A9	0.1173	0.2222
SLC13A2	-0.2856	0.0025
SLC13A3	-0.273	0.0039
SLC13A4	-0.1906	0.046
SLC14A1	-0.2668	0.0048
SLC15A2	-0.2569	0.0067
SLC15A3	0.8796	0.0
SLC15A4	0.1061	0.2698
SLC16A1	0.2519	0.0079
SLC16A1-AS1	0.0798	0.4075
SLC16A10	-0.2205	0.0206
SLC16A11	-0.2125	0.0259
SLC16A13	-0.1164	0.226
SLC16A14	0.1278	0.1832
SLC16A2	0.1909	0.0457
SLC16A3	0.6437	0.0
SLC16A4	-0.2636	0.0054
SLC16A5	-0.1631	0.0887
SLC16A6	-0.2071	0.0299
SLC16A7	0.0994	0.3015
SLC16A8	-0.2662	0.0049
SLC16A9	-0.2553	0.0071
SLC17A5	0.0605	0.5301
SLC17A7	0.412	0.0
SLC17A9	0.3355	0.0003
SLC18A2	0.3294	0.0004
SLC18B1	0.1933	0.0431
SLC19A1	0.2929	0.0019
SLC19A2	-0.3319	0.0004
SLC19A3	0.2421	0.0108
SLC1A1	0.1746	0.0681
SLC1A2	-0.4008	0.0
SLC1A3	0.4021	0.0
SLC1A4	-0.1708	0.0744
SLC1A5	0.2559	0.007
SLC1A7	0.5387	0.0
SLC20A1	0.2574	0.0066
SLC20A2	-0.3401	0.0003
SLC22A15	-0.3266	0.0005
SLC22A17	-0.1994	0.0368
SLC22A18	0.1661	0.0829
SLC22A18AS	0.5299	0.0
SLC22A20	-0.0809	0.4005
SLC22A23	-0.1195	0.2138
SLC22A3	0.1094	0.2554
SLC22A4	-0.2537	0.0075
SLC22A5	-0.4925	0.0
SLC23A1	-0.2837	0.0027
SLC23A2	-0.1345	0.1611
SLC23A3	-0.0338	0.7262
SLC24A1	-0.4678	0.0
SLC24A2	-0.0318	0.7414
SLC24A3	0.0855	0.3745
SLC24A4	0.5828	0.0
SLC25A1	0.3345	0.0004
SLC25A10	0.2299	0.0157
SLC25A11	0.3281	0.0005
SLC25A12	-0.4427	0.0
SLC25A13	-0.3523	0.0002
SLC25A14	-0.1466	0.1263
SLC25A15	-0.4848	0.0
SLC25A16	0.1126	0.2417
SLC25A17	-0.2977	0.0016
SLC25A18	0.2711	0.0042
SLC25A19	0.586	0.0
SLC25A20	0.4216	0.0
SLC25A21	-0.4541	0.0
SLC25A21-AS1	-0.5347	0.0
SLC25A22	0.034	0.7247
SLC25A23	0.0176	0.8549
SLC25A24	-0.1653	0.0844
SLC25A25	0.08	0.4063
SLC25A25-AS1	-0.2361	0.013
SLC25A26	0.114	0.2357
SLC25A27	-0.4148	0.0
SLC25A28	0.3866	0.0
SLC25A29	-0.1872	0.0502
SLC25A3	0.1265	0.1879
SLC25A30	0.0231	0.811
SLC25A32	-0.0481	0.6178
SLC25A33	0.0646	0.5027
SLC25A34	0.0962	0.3174
SLC25A35	0.0012	0.9902
SLC25A36	-0.5423	0.0
SLC25A37	-0.029	0.7635
SLC25A38	-0.3324	0.0004
SLC25A39	0.3138	0.0008
SLC25A4	0.0771	0.4233
SLC25A40	-0.6247	0.0
SLC25A42	0.0503	0.6017
SLC25A43	0.2804	0.003
SLC25A44	0.2632	0.0055
SLC25A45	-0.1645	0.0859
SLC25A46	-0.0889	0.3555
SLC25A48	0.0404	0.6752
SLC25A5	0.0102	0.9158
SLC25A5-AS1	-0.2009	0.0353
SLC25A51	0.1988	0.0373
SLC25A53	-0.0682	0.479
SLC25A6	0.1171	0.2232
SLC26A1	-0.2031	0.0333
SLC26A11	-0.0203	0.8336
SLC26A2	-0.1133	0.2385
SLC26A4	-0.3244	0.0005
SLC26A6	-0.0014	0.988
SLC26A7	0.0026	0.9788
SLC26A8	-0.1471	0.1251
SLC27A1	0.0189	0.8447
SLC27A2	-0.2173	0.0226
SLC27A3	0.5802	0.0
SLC27A4	0.4109	0.0
SLC27A5	-0.0522	0.5878
SLC27A6	-0.3937	0.0
SLC28A3	-0.154	0.1083
SLC29A1	0.291	0.002
SLC29A2	-0.2917	0.002
SLC29A3	0.5977	0.0
SLC29A4	0.3443	0.0002
SLC2A1	-0.2139	0.0249
SLC2A1-AS1	-0.1689	0.0777
SLC2A10	-0.2162	0.0233
SLC2A11	-0.4569	0.0
SLC2A12	-0.5823	0.0
SLC2A13	-0.081	0.4
SLC2A3	0.2569	0.0067
SLC2A4	0.0966	0.3156
SLC2A4RG	0.3639	0.0001
SLC2A5	0.41	0.0
SLC2A6	0.6754	0.0
SLC2A8	0.4417	0.0
SLC2A9	-0.2841	0.0026
SLC30A1	0.1455	0.1293
SLC30A2	-0.1655	0.0841
SLC30A4	0.0902	0.3486
SLC30A5	-0.1754	0.0668
SLC30A6	-0.1219	0.2045
SLC30A7	-0.0102	0.916
SLC30A9	-0.5445	0.0
SLC31A1	-0.1385	0.1489
SLC31A2	0.4468	0.0
SLC33A1	-0.4312	0.0
SLC34A2	-0.0537	0.5773
SLC35A1	-0.3646	0.0001
SLC35A2	0.1204	0.2102
SLC35A3	-0.494	0.0
SLC35A4	0.2785	0.0032
SLC35A5	-0.062	0.52
SLC35B1	0.2676	0.0047
SLC35B2	-0.0888	0.3563
SLC35B3	0.2004	0.0358
SLC35B4	0.3998	0.0
SLC35C1	0.5929	0.0
SLC35C2	0.0749	0.4369
SLC35D1	-0.2832	0.0027
SLC35D2	-0.1371	0.1531
SLC35E1	-0.1896	0.0473
SLC35E2	-0.3689	0.0001
SLC35E2B	-0.2235	0.0189
SLC35E3	-0.5695	0.0
SLC35E4	0.4843	0.0
SLC35F1	0.212	0.0262
SLC35F2	-0.1333	0.1651
SLC35F3	-0.3201	0.0007
SLC35F5	-0.298	0.0016
SLC35F6	0.6329	0.0
SLC35G1	0.1018	0.2901
SLC35G2	0.338	0.0003
SLC36A1	0.4699	0.0
SLC36A4	0.1355	0.1582
SLC37A1	-0.0678	0.4816
SLC37A2	0.8085	0.0
SLC37A3	0.091	0.3447
SLC37A4	-0.1936	0.0427
SLC38A1	-0.4434	0.0
SLC38A10	0.5153	0.0
SLC38A11	0.1671	0.081
SLC38A2	-0.1747	0.068
SLC38A3	0.1129	0.2401
SLC38A4	-0.0617	0.5217
SLC38A5	0.377	0.0
SLC38A6	0.4196	0.0
SLC38A7	0.5204	0.0
SLC38A9	0.0348	0.7182
SLC39A1	0.4908	0.0
SLC39A10	-0.1562	0.1032
SLC39A11	-0.0461	0.6322
SLC39A13	0.5574	0.0
SLC39A14	0.2276	0.0168
SLC39A2	0.0056	0.9538
SLC39A3	0.3889	0.0
SLC39A4	0.013	0.8925
SLC39A6	-0.3633	0.0001
SLC39A7	0.3793	0.0
SLC39A8	-0.2484	0.0089
SLC39A9	-0.4201	0.0
SLC3A2	0.1393	0.1466
SLC40A1	0.1121	0.2438
SLC41A1	0.1058	0.2713
SLC41A2	0.1725	0.0716
SLC41A3	0.0947	0.3252
SLC43A1	0.1735	0.0699
SLC43A2	0.6626	0.0
SLC43A3	0.5386	0.0
SLC44A1	-0.3559	0.0001
SLC44A2	0.161	0.093
SLC44A3	-0.2593	0.0062
SLC44A4	-0.1771	0.0642
SLC44A5	-0.2413	0.0111
SLC45A1	0.4224	0.0
SLC45A3	0.048	0.6182
SLC45A4	-0.1407	0.1427
SLC46A1	-0.1958	0.0404
SLC46A3	0.209	0.0285
SLC47A1	0.1367	0.1543
SLC48A1	0.3946	0.0
SLC4A11	-0.1931	0.0432
SLC4A1AP	-0.0216	0.8229
SLC4A2	0.35	0.0002
SLC4A3	-0.1437	0.1343
SLC4A4	0.1272	0.1855
SLC4A5	-0.4135	0.0
SLC4A7	-0.3897	0.0
SLC4A8	-0.1707	0.0746
SLC50A1	0.1959	0.0402
SLC51A	0.4494	0.0
SLC52A1	-0.1317	0.1702
SLC52A2	0.4118	0.0
SLC52A3	-0.0246	0.7983
SLC5A1	-0.3416	0.0003
SLC5A3	-0.0263	0.7852
SLC5A4	0.1526	0.1116
SLC5A6	-0.0432	0.6538
SLC5A9	-0.314	0.0008
SLC6A1	0.2433	0.0104
SLC6A11	-0.3264	0.0005
SLC6A12	0.2308	0.0153
SLC6A14	-0.2681	0.0046
SLC6A16	0.1521	0.1127
SLC6A17	-0.0401	0.6776
SLC6A20	0.1391	0.1473
SLC6A4	0.0394	0.6829
SLC6A6	0.088	0.3606
SLC6A8	0.2296	0.0158
SLC6A9	0.1335	0.1645
SLC7A1	-0.2158	0.0235
SLC7A11	-0.3066	0.0011
SLC7A2	-0.2183	0.0219
SLC7A5	0.0582	0.5461
SLC7A6	0.256	0.0069
SLC7A6OS	0.0767	0.4255
SLC7A7	0.8441	0.0
SLC7A8	-0.0646	0.5027
SLC7A9	-0.2015	0.0348
SLC8A1	0.3641	0.0001
SLC8B1	0.6175	0.0
SLC9A1	-0.0821	0.3936
SLC9A2	-0.2644	0.0053
SLC9A3	-0.1755	0.0667
SLC9A3R1	-0.1795	0.0606
SLC9A3R2	0.4074	0.0
SLC9A5	-0.3609	0.0001
SLC9A6	0.1329	0.1665
SLC9A7	-0.3392	0.0003
SLC9A7P1	-0.3376	0.0003
SLC9A8	-0.137	0.1534
SLC9A9	0.5125	0.0
SLC9B1	-0.0754	0.4335
SLC9B2	0.322	0.0006
SLC9C1	-0.44	0.0
SLCO1C1	0.2472	0.0092
SLCO2A1	0.1826	0.0562
SLCO2B1	0.7128	0.0
SLCO3A1	0.5691	0.0
SLCO4A1	0.4909	0.0
SLCO4C1	-0.1991	0.0371
SLCO5A1	0.1519	0.1133
SLFN11	0.4267	0.0
SLFN12	0.0161	0.8675
SLFN12L	0.0428	0.6572
SLFN13	-0.3457	0.0002
SLFN5	0.2242	0.0185
SLFNL1	-0.2134	0.0252
SLFNL1-AS1	-0.259	0.0063
SLIRP	0.2876	0.0023
SLIT1	0.1867	0.0508
SLIT2	0.3547	0.0001
SLIT3	0.5274	0.0
SLITRK4	0.0275	0.7755
SLITRK5	-0.3446	0.0002
SLITRK6	-0.2209	0.0204
SLK	-0.2697	0.0044
SLMAP	-0.3974	0.0
SLMO1	-0.0878	0.3616
SLMO2	-0.3259	0.0005
SLPI	-0.0087	0.9283
SLTM	-0.2683	0.0046
SLU7	-0.2042	0.0323
SLX4	0.0101	0.9164
SLX4IP	-0.3711	0.0001
SMAD1	-0.1193	0.2144
SMAD2	-0.107	0.2659
SMAD3	0.1946	0.0416
SMAD4	-0.4515	0.0
SMAD5	-0.3427	0.0002
SMAD6	0.445	0.0
SMAD7	0.1647	0.0855
SMAD9	-0.0031	0.9745
SMAGP	-0.0438	0.6494
SMAP1	0.0724	0.4524
SMAP2	0.5938	0.0
SMARCA1	-0.3874	0.0
SMARCA2	-0.3901	0.0
SMARCA4	-0.0292	0.7619
SMARCA5	-0.3882	0.0
SMARCAD1	-0.5361	0.0
SMARCAL1	0.1559	0.1039
SMARCB1	0.0807	0.402
SMARCC1	-0.4934	0.0
SMARCC2	-0.2325	0.0145
SMARCD1	-0.0234	0.8085
SMARCD2	0.0173	0.8577
SMARCD3	0.0731	0.4477
SMARCE1	-0.1155	0.2294
SMC1A	-0.2285	0.0163
SMC1B	-0.259	0.0063
SMC2	-0.2465	0.0094
SMC3	-0.4711	0.0
SMC4	-0.4226	0.0
SMC5	-0.5444	0.0
SMC5-AS1	-0.4262	0.0
SMC6	-0.0114	0.906
SMCHD1	-0.3362	0.0003
SMCO3	0.1137	0.2371
SMCO4	0.179	0.0613
SMCR8	-0.5212	0.0
SMDT1	0.0525	0.5861
SMEK1	-0.4966	0.0
SMEK2	-0.1412	0.1412
SMG1	-0.3842	0.0
SMG1P1	-0.4088	0.0
SMG1P2	-0.3502	0.0002
SMG1P3	-0.4268	0.0
SMG1P5	-0.3092	0.001
SMG1P7	0.0192	0.8424
SMG5	0.3032	0.0013
SMG6	-0.2615	0.0058
SMG7	-0.368	0.0001
SMG7-AS1	-0.2074	0.0297
SMG8	-0.4406	0.0
SMG9	0.1696	0.0766
SMIM1	-0.1324	0.168
SMIM10	0.3715	0.0001
SMIM12	0.5394	0.0
SMIM13	-0.0717	0.4568
SMIM14	-0.1531	0.1103
SMIM15	-0.3041	0.0012
SMIM17	-0.3632	0.0001
SMIM19	0.1635	0.0879
SMIM2-AS1	-0.2142	0.0247
SMIM20	0.2659	0.005
SMIM22	-0.111	0.2485
SMIM3	0.2897	0.0021
SMIM4	0.2479	0.009
SMIM5	-0.1126	0.2415
SMIM7	0.1798	0.0602
SMIM8	-0.3454	0.0002
SMKR1	-0.2471	0.0092
SMN1	-0.2132	0.0254
SMN2	-0.192	0.0445
SMNDC1	-0.1333	0.1651
SMO	-0.0595	0.5371
SMOC1	-0.0041	0.9662
SMOC2	0.362	0.0001
SMOX	-0.0079	0.9351
SMPD1	0.5718	0.0
SMPD2	0.0242	0.8015
SMPD3	-0.2059	0.0309
SMPD4	-0.1906	0.046
SMPDL3A	-0.0157	0.8707
SMPDL3B	-0.1655	0.0839
SMS	0.1476	0.124
SMTN	0.1739	0.0693
SMTNL1	0.0104	0.9139
SMU1	-0.1556	0.1045
SMUG1	0.1542	0.1079
SMURF1	0.225	0.0181
SMURF2	-0.0371	0.7003
SMYD2	0.1597	0.0957
SMYD3	0.0052	0.9569
SMYD4	-0.1607	0.0935
SMYD5	-0.0961	0.3181
SNAI1	0.4215	0.0
SNAI2	-0.2812	0.0029
SNAI3	0.4402	0.0
SNAI3-AS1	0.1273	0.1851
SNAP23	0.0071	0.9415
SNAP25	-0.2223	0.0196
SNAP29	-0.1068	0.2668
SNAP47	-0.1901	0.0467
